id,english,spanish_before,spanish_after,reason,context,evidence,risk,confidence
ACCESSIBILITY::scenes_eng::91,Lost Woods,Lost Woods,Bosque Perdido,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::92,Desert Colossus,Desert Colossus,Coloso del Desierto,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::93,Gerudo's Fortress,Gerudo's Fortress,Fortaleza Gerudo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::94,Haunted Wasteland,Haunted Wasteland,Desierto Encantado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::95,Hyrule Castle,Hyrule Castle,Castillo de Hyrule,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::96,Death Mountain Trail,Death Mountain Trail,Sendero del Monte Muerte,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::97,Death Mountain Crater,Death Mountain Crater,Cráter del Monte Muerte,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::98,Goron City,Goron City,Ciudad Goron,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::99,Lon Lon Ranch,Lon Lon Ranch,Rancho Lon Lon,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
0x0036,You found the Hookshot! It is a spring-loaded chain...,"¡Encontraste el Anclaje! Es una cadena con muelle que puedes lanzar para enganchar cosas. --- PAGE --- Puedes usarlo para arrastrar objetos lejanos hacia ti, o puedes usarlo para tirarte de ti hacia algo. --- PAGE --- Mientras sostienes [C], puedes apuntar con [D-Pad]. Disparalo soltando [C].","¡Encontraste el Gancho! Es una cadena con resorte que puedes lanzar para enganchar cosas. --- PAGE --- Puedes usarlo para arrastrar objetos lejanos hacia ti, o puedes usarlo para impulsarte hacia algo. --- PAGE --- Mientras sostienes [C], puedes apuntar con [D-Pad]. ¡Dispáralo soltando [C]!",Replace European Spanish term Anclaje with canonical LATAM Gancho; fix missing accent on Dispáralo,Hookshot item chest in Dampé grave,GLOSSARY_ES_419.csv Hookshot -> Gancho,CRITICAL_GAMEPLAY,HIGH
0x004F,You found the Longshot! It is an upgraded Hookshot...,¡Encontraste el Anclaje Largo! Es un Anclaje mejorado. ¡Se extiende el doble de lejos!,¡Encontraste el Gancho Largo! Es un Gancho mejorado. ¡Se extiende el doble de lejos!,Replace Anclaje Largo with canonical LATAM Gancho Largo,Longshot item chest in Water Temple,GLOSSARY_ES_419.csv Longshot -> Gancho Largo,CRITICAL_GAMEPLAY,HIGH
0x502D,"Hehehe, young man... As a reward, I give you my treasure. It is called the Hookshot...","Jejeje, joven... ¡Fue muy rápido de tu parte poder seguirme! ¡Jejeje! --- PAGE --- Como recompensa, te voy a dar mi tesoro. Se llama el Anzuelo. --- PAGE --- Su cadena con resorte te llevará cualquier lugar donde su gancho se enganche. ¿No suena genial? ¡Estoy seguro de que te ayudará! --- PAGE --- Vivo aquí ahora, así que vuelve algún día. ¡Te daré algo genial! --- PAGE --- ¡Una cosa más! ¡Ten cuidado de camino a casa! Jejeje...","Jejeje, joven... ¡Fue muy rápido de tu parte poder seguirme! ¡Jejeje! --- PAGE --- Como recompensa, te voy a dar mi tesoro. Se llama el Gancho. --- PAGE --- Su cadena con resorte te llevará a cualquier lugar donde su gancho se enganche. ¿No suena genial? ¡Estoy seguro de que te ayudará! --- PAGE --- Vivo aquí ahora, así que vuelve algún día. ¡Te daré algo genial! --- PAGE --- ¡Una cosa más! ¡Ten cuidado de camino a casa! Jejeje...",Replace mistranslation Anzuelo (fish hook) with Gancho; fix missing preposition te llevará a cualquier lugar,Dampé ghost race reward,Canonical LATAM terminology & Spanish syntax,CRITICAL_GAMEPLAY,HIGH
