id,future_i18n_key,english,spanish
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1710,ENHANCEMENTS.GAMEPLAY.DEKUSTICK,DekuStick,DekuStick
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1713,ENHANCEMENTS.GAMEPLAY.BOMBTIMERMULTIPLIER,BombTimerMultiplier,BombTimerMultiplier
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1716,ENHANCEMENTS.GAMEPLAY.HOOKSHOTEVERYTHING,HookshotEverything,HookshotEverything
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1719,ENHANCEMENTS.GAMEPLAY.HOOKSHOTREACHMULTIPLIER,HookshotReachMultiplier,HookshotReachMultiplier
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1723,ENHANCEMENTS.GAMEPLAY.MISC,Misc,Misc
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1725,ENHANCEMENTS.GAMEPLAY.NOCLIP,NoClip,NoClip
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1728,ENHANCEMENTS.GAMEPLAY.CLIMBEVERYTHING,ClimbEverything,ClimbEverything
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1731,ENHANCEMENTS.GAMEPLAY.MOONJUMPONL,MoonJumpOnL,MoonJumpOnL
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1734,ENHANCEMENTS.GAMEPLAY.NOREDEADFREEZE,NoRedeadFreeze,NoRedeadFreeze
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1738,ENHANCEMENTS.GAMEPLAY.NOKEESEGUAYTARGET,NoKeeseGuayTarget,NoKeeseGuayTarget
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1743,ENHANCEMENTS.GAMEPLAY.DISABLESANDSTORM,DisableSandstorm,DisableSandstorm
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1748,ENHANCEMENTS.GAMEPLAY.EASYFRAMEADVANCE,EasyFrameAdvance,EasyFrameAdvance
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1752,ENHANCEMENTS.GAMEPLAY.EASYISG,EasyISG,EasyISG
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1756,ENHANCEMENTS.GAMEPLAY.EASYQPA,EasyQPA,EasyQPA
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1766,ENHANCEMENTS.GAMEPLAY.DROPSDONTDIE,DropsDontDie,DropsDontDie
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1770,ENHANCEMENTS.GAMEPLAY.NOFISHDESPAWN,NoFishDespawn,NoFishDespawn
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1773,ENHANCEMENTS.GAMEPLAY.NOBUGSDESPAWN,NoBugsDespawn,NoBugsDespawn
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1778,ENHANCEMENTS.GAMEPLAY.FREEZETIME,FreezeTime,FreezeTime
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1781,ENHANCEMENTS.GAMEPLAY.TIMESYNC,TimeSync,TimeSync
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1799,ENHANCEMENTS.GAMEPLAY.SAVESTATEPROMISE,SaveStatePromise,SaveStatePromise
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1801,ENHANCEMENTS.GAMEPLAY.SAVESTATESENABLED,SaveStatesEnabled,SaveStatesEnabled
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1805,ENHANCEMENTS.GAMEPLAY.SAVESTATEPROMISE,SaveStatePromise,SaveStatePromise
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1806,ENHANCEMENTS.GAMEPLAY.SAVESTATESENABLED,SaveStatesEnabled,SaveStatesEnabled
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1811,ENHANCEMENTS.GAMEPLAY.ENABLEBETAQUEST,EnableBetaQuest,EnableBetaQuest
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1814,ENHANCEMENTS.GAMEPLAY.ENABLEBETAQUEST,EnableBetaQuest,EnableBetaQuest
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1815,ENHANCEMENTS.GAMEPLAY.BETAQUESTWORLD,BetaQuestWorld,BetaQuestWorld
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1817,ENHANCEMENTS.GAMEPLAY.BETAQUESTWORLD,BetaQuestWorld,BetaQuestWorld
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1820,ENHANCEMENTS.GAMEPLAY.CONSOLE,Console,Console
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1826,ENHANCEMENTS.GAMEPLAY.BETAQUESTWORLD,BetaQuestWorld,BetaQuestWorld
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1828,ENHANCEMENTS.GAMEPLAY.ENABLEBETAQUEST,EnableBetaQuest,EnableBetaQuest
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1832,ENHANCEMENTS.GAMEPLAY.CONSOLE,Console,Console
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1842,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1845,ENHANCEMENTS.GAMEPLAY.COSMETICSEDITOR,CosmeticsEditor,CosmeticsEditor
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1853,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1855,ENHANCEMENTS.GAMEPLAY.AUDIOEDITOR,AudioEditor,AudioEditor
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1863,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1865,ENHANCEMENTS.GAMEPLAY.GAMEPLAYSTATS,GameplayStats,GameplayStats
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1873,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1875,ENHANCEMENTS.GAMEPLAY.TIMESPLITS,TimeSplits,TimeSplits
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1882,ENHANCEMENTS.GAMEPLAY.TIMERS,Timers,Timers
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1883,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1885,ENHANCEMENTS.GAMEPLAY.TIMEDISPLAYENABLED,TimeDisplayEnabled,TimeDisplayEnabled
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1890,ENHANCEMENTS.GAMEPLAY.FONTSCALE,FontScale,FontScale
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L1895,ENHANCEMENTS.GAMEPLAY.SHOWWINDOWBG,ShowWindowBG,ShowWindowBG
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L10,RANDOMIZER.UI.DISABLED,Disabled,Deshabilitado
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L17,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L20,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L21,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L23,RANDOMIZER.UI.RANDOMIZERSETTINGS,RandomizerSettings,RandomizerSettings
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L29,RANDOMIZER.UI.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L30,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L33,RANDOMIZER.UI.RANDORELEVANTNAVI,RandoRelevantNavi,RandoRelevantNavi
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L38,RANDOMIZER.UI.RANDOMIZERUPEENAMES,RandomizeRupeeNames,RandomizeRupeeNames
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L44,RANDOMIZER.UI.CUSTOMKEYMODELS,CustomKeyModels,CustomKeyModels
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L50,RANDOMIZER.UI.COLOREDMAPSANDCOMPASSES,ColoredMapsAndCompasses,ColoredMapsAndCompasses
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L60,RANDOMIZER.UI.OVERWORLD,Overworld\,Overworld\
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L60,RANDOMIZER.UI.ANYWHERE,Anywhere\,Anywhere\
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L66,RANDOMIZER.UI.OVERWORLD,Overworld\,Overworld\
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L67,RANDOMIZER.UI.ANYWHERE,Anywhere\,Anywhere\
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L70,RANDOMIZER.UI.QUESTITEMFANFARES,QuestItemFanfares,QuestItemFanfares
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L76,RANDOMIZER.UI.MYSTERIOUSSHUFFLE,MysteriousShuffle,MysteriousShuffle
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L82,RANDOMIZER.UI.SIMPLERBOSSSOULMODELS,SimplerBossSoulModels,SimplerBossSoulModels
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L102,RANDOMIZER.UI.PLANDOMIZER,Plandomizer,Plandomizer
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L103,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L105,RANDOMIZER.UI.PLANDOMIZEREDITOR,PlandomizerEditor,PlandomizerEditor
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L113,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L117,RANDOMIZER.UI.ITEMTRACKER,ItemTracker,ItemTracker
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L125,RANDOMIZER.UI.ITEMTRACKERSETTINGS,ItemTrackerSettings,ItemTrackerSettings
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L133,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L137,RANDOMIZER.UI.ENTRANCETRACKER,EntranceTracker,EntranceTracker
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L145,RANDOMIZER.UI.ENTRANCETRACKERSETTINGS,EntranceTrackerSettings,EntranceTrackerSettings
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L153,RANDOMIZER.UI.RANDOMIZER,Randomizer,Aleatorizador
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L157,RANDOMIZER.UI.CHECKTRACKER,CheckTracker,CheckTracker
SOH_UI::soh::soh::SohGui::SohMenuRandomizer_cpp::L165,RANDOMIZER.UI.CHECKTRACKERSETTINGS,CheckTrackerSettings,CheckTrackerSettings
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L17,UI.GENERAL.NETWORK,Network,Network
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L20,UI.GENERAL.NETWORK,Network,Network
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L20,UI.GENERAL.SAIL,Sail,Sail
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L21,UI.GENERAL.NETWORK,Network,Network
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L45,UI.GENERAL.HOST,Host,Host
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L55,UI.GENERAL.PORT,Port,Port
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L64,UI.GENERAL.ENABLE_SAIL,Enable##Sail,Enable##Sail
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L66,UI.GENERAL.HOST,Host,Host
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L67,UI.GENERAL.PORT,Port,Port
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L70,UI.GENERAL.DISABLE_SAIL,Disable##Sail,Disable##Sail
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L72,UI.GENERAL.ENABLE_SAIL,Enable##Sail,Enable##Sail
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L77,UI.GENERAL.ENABLED,Enabled,Habilitado
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L81,UI.GENERAL.ENABLED,Enabled,Habilitado
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L89,UI.GENERAL.CONNECTED_SAIL,Connected##Sail,Connected##Sail
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L96,UI.GENERAL.NETWORK,Network,Network
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L111,UI.GENERAL.HOST,Host,Host
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L121,UI.GENERAL.PORT,Port,Port
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L130,UI.GENERAL.ENABLE_CROWDCONTROL,Enable##CrowdControl,Enable##CrowdControl
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L132,UI.GENERAL.HOST,Host,Host
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L133,UI.GENERAL.PORT,Port,Port
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L136,UI.GENERAL.DISABLE_CROWDCONTROL,Disable##CrowdControl,Disable##CrowdControl
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L138,UI.GENERAL.ENABLE_CROWDCONTROL,Enable##CrowdControl,Enable##CrowdControl
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L143,UI.GENERAL.ENABLED,Enabled,Habilitado
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L147,UI.GENERAL.ENABLED,Enabled,Habilitado
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L155,UI.GENERAL.CONNECTED,Connected,Connected
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L162,UI.GENERAL.ENEMYNAMETAGS,EnemyNameTags,EnemyNameTags
SOH_UI::soh::soh::SohGui::SohMenuNetwork_cpp::L167,UI.GENERAL.SPAWNEDENEMIESIGNOREDINGAME,SpawnedEnemiesIgnoredIngame,SpawnedEnemiesIgnoredIngame
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L92,UI.GENERAL.NETWORK,Network,Network
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L94,UI.GENERAL.NETWORK,Network,Network
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L94,UI.GENERAL.INFO,Info,Info
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L95,UI.GENERAL.NETWORK,Network,Network
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L99,UI.GENERAL.ENABLE_REMOTE_CONTROL,ENABLE_REMOTE_CONTROL\,ENABLE_REMOTE_CONTROL\
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L150,UI.GENERAL.MATCHREFRESHRATE,MatchRefreshRate,MatchRefreshRate
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L165,UI.GENERAL.DEBUGENABLED,DebugEnabled,DebugEnabled
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L180,UI.GENERAL.DEBUGENABLED,DebugEnabled,DebugEnabled
SOH_UI::soh::soh::SohGui::SohMenu_cpp::L181,UI.GENERAL.BOOTTODEBUGWARPSCREEN,BootToDebugWarpScreen,BootToDebugWarpScreen
SOH_UI::soh::soh::SohGui::SohMenuBar_cpp::L67,UI.GENERAL.DIRECTX,DirectX,DirectX
SOH_UI::soh::soh::SohGui::SohMenuBar_cpp::L68,UI.GENERAL.OPENGL,OpenGL,OpenGL
SOH_UI::soh::soh::SohGui::SohMenuBar_cpp::L69,UI.GENERAL.METAL,Metal,Metal
SOH_UI::soh::soh::SohGui::SohMenuBar_cpp::L76,UI.GENERAL.THREE_POINT,Three-Point,Tres puntos
SOH_UI::soh::soh::SohGui::SohMenuBar_cpp::L78,UI.GENERAL.LINEAR,Linear,Lineal
SOH_UI::soh::soh::SohGui::SohMenuBar_cpp::L78,UI.GENERAL.NONE,None,Ninguno
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L35,SETTINGS.GENERAL.CUSTOM,Custom,Personalizado
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L45,SETTINGS.GENERAL.CUSTOM,Custom,Personalizado
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L115,SETTINGS.GENERAL.CUSTOM,Custom,Personalizado
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L385,SETTINGS.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L385,SETTINGS.GENERAL.GRAPHICS,Graphics,Gráficos
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L428,SETTINGS.GENERAL.ASPECTSEP,AspectSep,AspectSep
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L438,SETTINGS.GENERAL.OFF,Off\,Off\
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L457,SETTINGS.GENERAL.CUSTOM,Custom,Personalizado
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L472,SETTINGS.GENERAL.ASPECTRATIOCUSTOM,AspectRatioCustom,AspectRatioCustom
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L513,SETTINGS.GENERAL.MORERESOLUTIONSETTINGS,MoreResolutionSettings,MoreResolutionSettings
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L599,SETTINGS.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::SohGui::ResolutionEditor_cpp::L599,SETTINGS.GENERAL.GRAPHICS,Graphics,Gráficos
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L29,UI.GENERAL.ENABLEDMODS,EnabledMods,EnabledMods
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L82,UI.GENERAL.DRAGMOVE,DragMove,DragMove
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L88,UI.GENERAL.DRAGMOVE,DragMove,DragMove
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L301,UI.GENERAL.EDIT,Edit,Edit
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L309,UI.GENERAL.CANCEL,Cancel,Cancelar
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L317,UI.GENERAL.CLOSE,Close,Cerrar
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L318,UI.GENERAL.CANCEL,Cancel,Cancelar
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L367,UI.GENERAL.ALTASSETS,AltAssets,AltAssets
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L377,UI.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::Enhancements::mod_menu_cpp::L387,UI.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L72,COSMETICS.LINK,Link,Link
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L74,COSMETICS.SWORDS,Swords,Espadas
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L75,COSMETICS.GLOVES,Gloves,Guantes
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L76,COSMETICS.EQUIPMENT,Equipment,Equipamiento
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L77,COSMETICS.KEYRING,Keyring,Llavero
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L80,COSMETICS.CONSUMABLES,Consumables,Consumibles
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L84,COSMETICS.NPCS,NPCs,PNJs
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L85,COSMETICS.WORLD,World,Mundo
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L89,COSMETICS.TRAILS,Trails,Estelas
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L90,COSMETICS.NAVI,Navi,Navi
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L91,COSMETICS.IVAN,Ivan,Ivan
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L92,COSMETICS.MESSAGE,Message,Mensaje
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L204,COSMETICS.HAIR,Hair,Cabello
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L205,COSMETICS.LINEN,Linen,Ropa blanca
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L206,COSMETICS.BOOTS,Boots,Botas
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L208,COSMETICS.BODY,Body,Cuerpo
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L209,COSMETICS.MIRROR,Mirror,Mirror
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L210,COSMETICS.EMBLEM,Emblem,Emblem
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L248,COSMETICS.HEARTS,Hearts,Hearts
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L252,COSMETICS.MAGIC,Magic,Magic
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L254,COSMETICS.CONSUMABLE_MAGICINFINITE,Consumable_MagicInfinite,Consumable_MagicInfinite
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L308,COSMETICS.DPAD,Dpad,Dpad
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L311,COSMETICS.MINIMAP,Minimap,Minimap
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L338,COSMETICS.BLACK,Black,Negro
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L408,COSMETICS.BOMBCHU,Bombchu,Bombchu
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L409,COSMETICS.BOOMERANG,Boomerang,Búmeran
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L413,COSMETICS.STICK,Stick,Stick
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L414,COSMETICS.HAMMER,Hammer,Hammer
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L417,COSMETICS.MOON,Moon,Moon
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L442,COSMETICS.KOKIRI,Kokiri,Kokiri
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L443,COSMETICS.GERUDO,Gerudo,Gerudo
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L521,COSMETICS.RAINBOWSPEED,RainbowSpeed,RainbowSpeed
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L545,COSMETICS.RAINBOWSYNC,RainbowSync,RainbowSync
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L572,COSMETICS.MAGIC_FARORESPRIMARY1,Magic_FaroresPrimary1,Magic_FaroresPrimary1
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L574,COSMETICS.MAGIC_FARORESPRIMARY2,Magic_FaroresPrimary2,Magic_FaroresPrimary2
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L581,COSMETICS.MAGIC_FARORESSECONDARY1,Magic_FaroresSecondary1,Magic_FaroresSecondary1
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L583,COSMETICS.MAGIC_FARORESSECONDARY2,Magic_FaroresSecondary2,Magic_FaroresSecondary2
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L590,COSMETICS.LINK_GORONTUNIC1,Link_GoronTunic1,Link_GoronTunic1
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L592,COSMETICS.LINK_GORONTUNIC2,Link_GoronTunic2,Link_GoronTunic2
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L594,COSMETICS.LINK_GORONTUNIC3,Link_GoronTunic3,Link_GoronTunic3
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L596,COSMETICS.LINK_GORONTUNIC4,Link_GoronTunic4,Link_GoronTunic4
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L603,COSMETICS.LINK_ZORATUNIC1,Link_ZoraTunic1,Link_ZoraTunic1
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L605,COSMETICS.LINK_ZORATUNIC2,Link_ZoraTunic2,Link_ZoraTunic2
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L607,COSMETICS.LINK_ZORATUNIC3,Link_ZoraTunic3,Link_ZoraTunic3
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L609,COSMETICS.LINK_ZORATUNIC4,Link_ZoraTunic4,Link_ZoraTunic4
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L616,COSMETICS.LINK_HAIR1,Link_Hair1,Link_Hair1
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L618,COSMETICS.LINK_HAIR2,Link_Hair2,Link_Hair2
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L620,COSMETICS.LINK_HAIR3,Link_Hair3,Link_Hair3
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L622,COSMETICS.LINK_HAIR4,Link_Hair4,Link_Hair4
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L626,COSMETICS.LINK_HAIR5,Link_Hair5,Link_Hair5
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L627,COSMETICS.LINK_HAIR6,Link_Hair6,Link_Hair6
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L628,COSMETICS.LINK_HAIR7,Link_Hair7,Link_Hair7
SOH_UI::soh::soh::Enhancements::cosmetics::CosmeticsEditor_cpp::L629,COSMETICS.LINK_HAIR8,Link_Hair8,Link_Hair8
